Method,Size,Threads,Time
OMP_Loop,10000,2,0.000245059
OMP_Explicit,10000,2,0.000239554
OMP_Tasks,10000,2,0.000142705
Pthreads,10000,2,0.000176339
OMP_SIMD,10000,1,0.000000081
OMP_Loop,10000,4,0.000182038
OMP_Explicit,10000,4,0.000199429
OMP_Tasks,10000,4,0.000276245
Pthreads,10000,4,0.000209777
OMP_Loop,10000,8,0.007490505
OMP_Explicit,10000,8,0.006569390
OMP_Tasks,10000,8,0.006463294
Pthreads,10000,8,0.000335497
OMP_Loop,50000,2,0.000124676
OMP_Explicit,50000,2,0.000167998
OMP_Tasks,50000,2,0.000187472
Pthreads,50000,2,0.000167028
OMP_SIMD,50000,1,0.000000082
OMP_Loop,50000,4,0.000226871
OMP_Explicit,50000,4,0.000174364
OMP_Tasks,50000,4,0.000232469
Pthreads,50000,4,0.000230853
OMP_Loop,50000,8,0.000345693
OMP_Explicit,50000,8,0.007488593
OMP_Tasks,50000,8,0.004900692
Pthreads,50000,8,0.000410612
OMP_Loop,500000,2,0.000279646
OMP_Explicit,500000,2,0.000211248
OMP_Tasks,500000,2,0.000465967
Pthreads,500000,2,0.000223466
OMP_SIMD,500000,1,0.000000073
OMP_Loop,500000,4,0.000301843
OMP_Explicit,500000,4,0.000295704
OMP_Tasks,500000,4,0.000733427
Pthreads,500000,4,0.000335357
OMP_Loop,500000,8,0.000452793
OMP_Explicit,500000,8,0.007532865
OMP_Tasks,500000,8,0.001291781
Pthreads,500000,8,0.000580606
OMP_Loop,2000000,2,0.000700284
OMP_Explicit,2000000,2,0.000602715
OMP_Tasks,2000000,2,0.001417621
Pthreads,2000000,2,0.000667620
OMP_SIMD,2000000,1,0.000000064
OMP_Loop,2000000,4,0.000593653
OMP_Explicit,2000000,4,0.000804559
OMP_Tasks,2000000,4,0.001722959
Pthreads,2000000,4,0.000727915
OMP_Loop,2000000,8,0.001360051
OMP_Explicit,2000000,8,0.012594877
OMP_Tasks,2000000,8,0.008137677
Pthreads,2000000,8,0.000706596
